Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-04-17,5204.9,5241.6,5183.58,5210.93,9.11273165,47577.522030773,5220.9945226219
2019-04-16,5039.66,5214.47,5026.17,5205.01,27.20870587,140607.8996301,5167.7540380609
2019-04-15,5151.31,5174.72,4960.49,5039.06,6.43345492,32630.491477601,5072.0012626747
2019-04-14,5052.7,5213.5,5048.54,5150.78,21.39489911,110211.69743668,5151.3071816807
2019-04-13,5088.0,5114.9,5037.0,5068.32,7.06218827,35815.629141955,5071.4633726347
2019-04-12,5023.4,5092.08,4913.2,5080.28,12.77545717,63978.961460318,5007.9586670728
2019-04-11,5315.24,5315.24,4962.15,5045.0,40.04464256,203639.93199151,5085.3227541335
2019-04-10,5171.65,5448.3,5171.5,5308.0,27.59166731,146194.32910482,5298.4956458879
2019-04-09,5251.0,5266.15,5157.2,5197.5,23.05009005,120119.58563105,5211.2414906185
2019-04-08,5164.6,5329.1,5144.4,5288.32,30.29844049,160167.04292822,5286.3131018603
2019-04-07,5063.19,5247.5,5060.4,5162.1,15.35584488,79348.823332794,5167.3368644236
2019-04-06,5012.2,5218.21,4914.82,5048.05,35.3471171,178851.16351563,5059.8515010331
2019-04-05,4908.7,5054.01,4903.8,5033.35,28.4442895,141964.36153292,4990.9617722361
2019-04-04,4952.8,5063.7,4799.8,4899.41,22.75427516,112818.38411897,4958.118126184
2019-04-03,4901.68,5329.9,4847.3,4973.6,124.49273918,628747.53792987,5050.4755704731
2019-04-02,4133.0,5079.8,4131.76,4901.73,142.51853913,659750.26187094,4629.2241409319
2019-04-01,4090.1,4143.9,4061.19,4133.0,17.98078774,74081.71731417,4120.0484864947
2019-03-31,4093.34,4098.7,4079.46,4093.4,4.38760139,17937.76924723,4088.2859796957
2019-03-30,4086.6,4124.44,4046.8,4093.9,16.43134057,67078.782369331,4082.3682087024
2019-03-29,4011.98,4096.38,4004.67,4091.21,25.16583613,101831.45450382,4046.4164980564
2019-03-28,4019.8,4020.5,3999.9,4019.67,18.78995879,75332.285627933,4009.1777991565
2019-03-27,3919.52,4031.81,3919.52,4029.36,32.60409653,130208.77813345,3993.6324570025
2019-03-26,3909.1,3923.5,3888.12,3920.04,16.03327621,62657.062479039,3907.9388178917
2019-03-25,3966.54,3971.9,3889.3,3909.3,2.56148524,10104.26808407,3944.6911214954
2019-03-24,3987.3,4003.4,3955.13,3966.54,9.52,37992.2307,3990.7805357143
2019-03-23,3982.2,4007.23,3966.23,3982.7,9.44816252,37817.077892001,4002.585456373
2019-03-22,3983.88,3995.86,3976.7,3995.86,10.17489151,40507.618085379,3981.1351350103
2019-03-21,4034.54,4056.6,3928.5,3989.78,24.51522768,98033.188519863,3998.8691844719
2019-03-20,3998.58,4058.4,3969.9,4034.9,33.24368886,133274.14836679,4009.0060079689
2019-03-19,3966.2,4005.56,3961.36,3998.11,23.2281254,92467.396359611,3980.8376598316
2019-03-18,3965.1,4011.4,3942.2,3979.55,35.62855419,141934.63119568,3983.7325544779
2019-03-17,3987.88,3990.4,3939.27,3969.1,26.55056273,105197.77979849,3962.1676146103
2019-03-16,3903.3,4018.8,3903.3,3987.88,50.08079896,198724.50646083,3968.077798031
2019-03-15,3863.45,3959.1,3846.5,3896.96,25.44745984,99433.167060859,3907.3906663393
2019-03-14,3855.0,3895.55,3813.3,3864.4,30.44809107,117231.92176838,3850.2223833628
2019-03-13,3863.4,3870.5,3850.0,3855.0,27.61770833,106677.14720619,3862.6357383286
2019-03-12,3843.0,3874.4,3802.9,3871.4,14.99093428,57741.100314938,3851.7346041582
2019-03-11,3906.72,3917.3,3821.1,3854.3,35.97778115,139256.90922654,3870.6363976685
2019-03-10,3912.8,3925.84,3874.0,3898.73,12.01144083,46969.326935884,3910.382409625
2019-03-09,3850.7,3942.14,3850.7,3912.05,15.56936997,60448.394135359,3882.5202466018
2019-03-08,3850.67,3903.8,3798.0,3839.49,25.30216539,97375.715117805,3848.5131061664
2019-03-07,3845.9,3882.82,3835.4,3850.73,10.01245832,38629.139766119,3858.107422925
2019-03-06,3841.4,3880.14,3799.01,3846.81,36.62672155,140673.3440701,3840.72988564
2019-03-05,3699.69,3864.2,3694.6,3841.4,47.39852546,178060.35863838,3756.6645145669
2019-03-04,3783.57,3814.1,3682.0,3697.38,39.48591615,148680.5344143,3765.4067300729
2019-03-03,3806.66,3826.77,3766.18,3780.03,25.36943362,96420.570410937,3800.6591654819
2019-03-02,3810.2,3826.67,3773.2,3807.3,14.802464,56442.617384567,3813.0555416022
2019-03-01,3795.02,3838.28,3774.5,3810.1,10.18265965,38630.21008426,3793.7249610675
2019-02-28,3802.2,3883.6,3772.2,3795.8,54.05773177,206600.17117017,3821.8431370594
2019-02-27,3794.5,3817.1,3681.0,3799.26,34.24890787,128257.20837172,3744.8554230852
2019-02-26,3826.49,3832.9,3774.4,3795.5,23.49952913,89499.42752942,3808.5625900973
2019-02-25,3740.23,3858.0,3740.23,3835.3,42.08169074,159439.344521,3788.8055759473
2019-02-24,4111.8,4177.7,3714.59,3737.41,87.99247173,340375.90484698,3868.2389317509
2019-02-23,3945.1,4145.2,3912.7,4114.4,29.31367091,117637.50172059,4013.0593702088
2019-02-22,3898.95,3951.0,3897.8,3951.0,6.39118061,25152.227567038,3935.4587363223
2019-02-21,3925.5,3975.5,3884.3,3894.15,9.52651911,37553.584028571,3942.0047968151
2019-02-20,3893.8,3950.4,3851.59,3936.32,36.1573541,141225.97824411,3905.8714820095
2019-02-19,3868.97,3958.3,3848.2,3885.13,18.59376795,72636.662896471,3906.5058298993
2019-02-18,3631.18,3906.94,3630.6,3865.08,32.90961613,123709.50684799,3759.0686673254
2019-02-17,3577.93,3649.43,3558.27,3632.0,22.98915471,82989.321277446,3609.9335675594
2019-02-16,3563.93,3603.5,3563.93,3578.39,13.73530773,49273.233911651,3587.3410978649
2019-02-15,3563.3,3604.33,3541.8,3563.93,10.48415367,37495.791967611,3576.4252554695
2019-02-14,3568.12,3578.6,3539.4,3564.13,6.40699232,22870.721441549,3569.6502039117
2019-02-13,3579.3,3617.4,3550.8,3568.82,69.28695946,247669.94352893,3574.5535012531
2019-02-12,3582.78,3609.3,3551.3,3586.9,36.49997118,130753.5975814,3582.2931732353
2019-02-11,3635.62,3635.62,3578.0,3586.3,11.56583243,41621.986239434,3598.7021679021
2019-02-10,3616.11,3639.7,3582.8,3635.82,20.149,72795.56781,3612.8625643953
2019-02-09,3611.4,3629.7,3591.37,3616.11,38.98166302,140937.40898089,3615.4796399677
2019-02-08,3351.68,3698.92,3343.0,3621.3,89.49295706,317214.58263326,3544.5759426698
2019-02-07,3366.02,3371.54,3338.69,3349.89,12.363758,41457.67147167,3353.1610269038
2019-02-06,3422.63,3435.4,3343.8,3373.14,17.56923692,59276.396261597,3373.8742628099
2019-02-05,3410.16,3430.4,3399.2,3422.43,6.50116022,22248.826733214,3422.2855583175
2019-02-04,3409.96,3431.4,3398.0,3410.32,49.065071,167540.19436326,3414.6530505023
2019-02-03,3456.48,3458.4,3385.7,3410.45,2.73447926,9367.589255203,3425.7305923772
2019-02-02,3439.2,3474.7,3416.8,3470.03,13.8280955,47587.150117149,3441.3379714617
2019-02-01,3409.66,3448.8,3372.0,3448.8,8.15189858,27729.676701797,3401.6218957666
2019-01-31,3437.2,3463.88,3390.7,3410.0,74.53531386,255377.55639578,3426.2625750185
2019-01-30,3381.02,3454.1,3376.7,3434.0,67.00397557,228808.30117701,3414.846645002
2019-01-29,3434.5,3434.5,3348.2,3381.0,22.03169521,74800.910237843,3395.1500111481
2019-01-28,3531.26,3531.26,3322.8,3434.7,338.23684303,1144262.7653727,3383.0222489134
2019-01-27,3549.5,3558.8,3477.4,3531.26,10.36029083,36407.792404548,3514.167025034
2019-01-26,3561.12,3636.5,3541.2,3562.5,25.42071865,91502.644704508,3599.5302085808
2019-01-25,3567.91,3567.91,3419.2,3557.2,323.31388987,1130087.0284114,3495.3247101934
2019-01-24,3546.2,3578.43,3520.3,3567.91,51.2115816,181272.55590224,3539.6789210322
2019-01-23,3572.22,3600.4,3519.78,3555.0,73.51265084,262143.6245423,3565.9661506814
2019-01-22,3542.87,3600.0,3450.3,3572.9,64.80816593,228550.27568609,3526.5660184389
2019-01-21,3543.92,3558.0,3471.7,3532.27,59.18199759,207938.42897785,3513.5419121605
2019-01-20,3683.0,3694.6,3494.1,3537.0,66.85471482,239387.98942782,3580.7196257189
2019-01-19,3612.3,3743.4,3611.0,3701.6,55.54053454,204689.75089576,3685.4119714736
2019-01-18,3634.57,3634.6,3510.0,3615.71,144.13825089,514883.43313572,3572.1498627637
2019-01-17,3612.6,3649.59,3548.5,3636.72,131.62426347,470940.58992576,3577.9162405957
2019-01-16,3583.69,3658.67,3570.9,3606.3,55.70751781,200302.04139498,3595.6016219955
2019-01-15,3681.01,3684.1,3560.7,3587.1,56.20338193,202869.03147116,3609.552032364
2019-01-14,3520.53,3706.4,3520.53,3668.9,64.92227109,235120.39565659,3621.5676332494
2019-01-13,3614.3,3635.6,3489.23,3508.5,40.57202952,143946.75042006,3547.9307326517
2019-01-12,3632.1,3649.0,3578.41,3618.91,17.67347524,63897.404203476,3615.4408420399
2019-01-11,3628.5,3687.4,3584.7,3630.5,31.35606607,114142.18563775,3640.1947037278
