code,name,description,refreshed_at,from_date,to_date
BTCDEEUR,Bitcoin Markets (btcdeEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Btcde. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-09-26 23:04:32,2011-08-26,2019-08-28
BTCEEUR,Bitcoin Markets (btceEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Btce. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-08-23 23:04:04,2012-11-02,2017-07-25
BTCERUR,Bitcoin Markets (btceRUR),Daily Bitcoin exchange rate (BTC vs. RUR) on Btce. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-08-23 23:04:04,2012-08-17,2017-07-25
BTCEUREUR,Bitcoin Markets (btceurEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Btceur. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:27,2014-01-04,2014-09-18
BTCEUSD,Bitcoin Markets (btceUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Btce. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-08-23 23:04:04,2011-08-14,2017-07-25
BTCEXEUR,Bitcoin Markets (btcexEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-01-18,2011-05-11
BTCEXJPY,Bitcoin Markets (btcexJPY),Daily Bitcoin exchange rate (BTC vs. JPY) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-12-01,2011-03-05
BTCEXRUB,Bitcoin Markets (btcexRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-09-14,2011-05-12
BTCEXUSD,Bitcoin Markets (btcexUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-02-04,2012-07-22
BTCEXWMR,Bitcoin Markets (btcexWMR),Daily Bitcoin exchange rate (BTC vs. WMR) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-11-12,2011-05-22
BTCEXWMZ,Bitcoin Markets (btcexWMZ),Daily Bitcoin exchange rate (BTC vs. WMZ) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-12-23,2011-05-11
BTCEXYAD,Bitcoin Markets (btcexYAD),Daily Bitcoin exchange rate (BTC vs. YAD) on Btcex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2010-12-13,2011-05-12
BTCHKEXHKD,Bitcoin Markets (btchkexHKD),Daily Bitcoin exchange rate (BTC vs. HKD) on Btchkex. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-06-01,2013-07-10
BTCMARKETSAUD,Bitcoin Markets (btcmarketsAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Btcmarkets. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2013-08-30,2020-04-25
BTCNCNY,Bitcoin Markets (btcnCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Btcn. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-10-29 23:03:37,2011-06-13,2017-09-30
BTCOIDIDR,Bitcoin Markets (btcoidIDR),Daily Bitcoin exchange rate (BTC vs. IDR) on Btcoid. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2014-02-09,2020-04-25
BTCTRADECNY,Bitcoin Markets (btctradeCNY),This dataset has no description.,2017-10-29 23:03:38,2017-07-23,2017-09-30
BTCTREEUSD,Bitcoin Markets (btctreeUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Btctree. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2012-05-02,2012-07-11
BTCXCHANGERON,Bitcoin Markets (btcxchangeRON),Daily Bitcoin exchange rate (BTC vs. RON) on Btcxchange. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2013-12-17,2015-02-23
CBXUSD,Bitcoin Markets (cbxUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Cbx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-05-15 23:04:46,2011-07-05,2017-04-16
CEXEUR,Bitcoin Markets (cexEUR),This dataset has no description.,2020-04-25 23:04:27,2017-05-25,2020-04-25
CEXRUB,Bitcoin Markets (cexRUB),This dataset has no description.,2020-04-25 23:04:27,2017-05-25,2020-04-25
CEXUSD,Bitcoin Markets (cexUSD),This dataset has no description.,2020-04-25 23:04:27,2017-05-27,2020-04-25
CHBTCCNY,Bitcoin Markets (chbtcCNY),This dataset has no description.,2017-10-29 23:03:38,2017-06-30,2017-09-30
CHILEBITCLP,Bitcoin Markets (chilebitCLP),This dataset has no description.,2020-01-26 00:08:13,2017-06-05,2019-12-28
